"","Factor","Type","N","value","sd","Lq","Hq"
"1",0.05,"Cetacean, CV = 0.2",2000,0.991561970548473,0.000446724951126507,0.990819391962412,0.992259703930584
"2",0.05,"Cetacean, CV = 0.8 ",2000,0.991573736277763,0.000437517194402851,0.990835859224424,0.992261156248866
"3",0.05,"Indiana Bat, CV = 0.2",2000,0.991564391425698,0.000693485423391418,0.990397606145086,0.992675642574594
"4",0.05,"Indiana Bat, CV = 0.8 ",2000,0.991580280599773,0.000711996158870827,0.990332142482343,0.992672255541022
"5",0.1,"Cetacean, CV = 0.2",2000,0.982979786495632,0.000864342876636712,0.981504605738639,0.98435244112975
"6",0.1,"Cetacean, CV = 0.8 ",2000,0.982935789577747,0.000894700355436496,0.981389885764624,0.984348596501721
"7",0.1,"Indiana Bat, CV = 0.2",2000,0.982967944431276,0.00139976842920377,0.980631988054569,0.985179245151705
"8",0.1,"Indiana Bat, CV = 0.8 ",2000,0.982951247763858,0.00145950849873137,0.980494672505723,0.985272953444655
"9",0.15,"Cetacean, CV = 0.2",2000,0.974124175282904,0.00134796693714932,0.97193624570679,0.976315568448667
"10",0.15,"Cetacean, CV = 0.8 ",2000,0.974141969053283,0.00132892446583843,0.97195439751316,0.97623765332754
"11",0.15,"Indiana Bat, CV = 0.2",2000,0.97411862474165,0.00210953639516064,0.970649624579542,0.977425077196262
"12",0.15,"Indiana Bat, CV = 0.8 ",2000,0.974107327268825,0.00214742572785601,0.970329959285887,0.977482465406447
"13",0.2,"Cetacean, CV = 0.2",2000,0.965294160829828,0.00179625642657138,0.962328508408881,0.968200543341612
"14",0.2,"Cetacean, CV = 0.8 ",2000,0.965232937266453,0.00179003285272133,0.962226762120722,0.968115426667472
"15",0.2,"Indiana Bat, CV = 0.2",2000,0.965088718293352,0.00296025530288751,0.960194188020691,0.969843712344127
"16",0.2,"Indiana Bat, CV = 0.8 ",2000,0.965127452884725,0.00279020080065126,0.960426375330997,0.969687188601724
"17",0.25,"Cetacean, CV = 0.2",2000,0.955925108373419,0.00231868002231729,0.952076936170698,0.959627490405669
"18",0.25,"Cetacean, CV = 0.8 ",2000,0.956046439442342,0.0022251514016401,0.952231494017992,0.959544895796808
"19",0.25,"Indiana Bat, CV = 0.2",2000,0.955918138931697,0.00352176118914928,0.950052599547092,0.961692719536951
"20",0.25,"Indiana Bat, CV = 0.8 ",2000,0.955877098751265,0.00360464991633163,0.949970737327455,0.961726334529929
"21",0.3,"Cetacean, CV = 0.2",2000,0.946619585404063,0.00269780216700969,0.941977611689252,0.951013927373617
"22",0.3,"Cetacean, CV = 0.8 ",2000,0.946717958832583,0.0027736406979644,0.942053563881017,0.951100951822583
"23",0.3,"Indiana Bat, CV = 0.2",2000,0.946541502458884,0.00430959861900524,0.9391579666582,0.953467590652595
"24",0.3,"Indiana Bat, CV = 0.8 ",2000,0.946464683259335,0.0044072165351768,0.93909037429925,0.953528442715419
"25",0.35,"Cetacean, CV = 0.2",2000,0.936959904856506,0.00319358356206855,0.9317682070871,0.941995288555491
"26",0.35,"Cetacean, CV = 0.8 ",2000,0.93710449595695,0.00319667319765721,0.931767882241317,0.942306284238005
"27",0.35,"Indiana Bat, CV = 0.2",2000,0.93679947095476,0.00510894997775251,0.92818147651865,0.945006202959676
"28",0.35,"Indiana Bat, CV = 0.8 ",2000,0.936745607222798,0.00509681532574516,0.928378556288228,0.944999755719317
"29",0.4,"Cetacean, CV = 0.2",2000,0.92716441748001,0.00370948084803195,0.920829377315403,0.932927055512072
"30",0.4,"Cetacean, CV = 0.8 ",2000,0.927072952736985,0.00366123308416524,0.920949394729955,0.93312487706122
"31",0.4,"Indiana Bat, CV = 0.2",2000,0.926635133880122,0.00590133661110291,0.916689569571073,0.93617916121924
"32",0.4,"Indiana Bat, CV = 0.8 ",2000,0.926780966913108,0.00596135618232217,0.916733190148222,0.936362957050942
"33",0.45,"Cetacean, CV = 0.2",2000,0.916723429030317,0.00416304090310841,0.909798603034881,0.9236596478262
"34",0.45,"Cetacean, CV = 0.8 ",2000,0.917061179699895,0.0041418068325725,0.910283469916245,0.923807989504583
"35",0.45,"Indiana Bat, CV = 0.2",2000,0.916369566176542,0.00671338823775885,0.904989379095351,0.927017153687533
"36",0.45,"Indiana Bat, CV = 0.8 ",2000,0.916313512354738,0.00662743567229577,0.905150340548565,0.92668116025395
