"Percentile","Type","N","value","sd","Lq","Hq","Recovery Factor"
2.5,"Cetacean, CV = 0.2",2000,0.717359400592606,0.00609161660665411,0.707416153671165,0.727462945256833,"1"
2.5,"Cetacean, CV = 0.8 ",2000,0.764620031179268,0.00567027479565274,0.754539365312861,0.772528860561928,"1"
2.5,"Indiana Bat, CV = 0.2",2000,0.749932788566798,0.0132024404132299,0.728404178942852,0.771481659399167,"1"
2.5,"Indiana Bat, CV = 0.8 ",2000,0.851530202854884,0.0125395398184295,0.82882965660193,0.869215523091884,"1"
5,"Cetacean, CV = 0.2",2000,0.712991131899903,0.00641409374012816,0.702094626863985,0.723342593129989,"1"
5,"Cetacean, CV = 0.8 ",2000,0.757497837289073,0.00708657130106169,0.744523721574411,0.767528049624816,"1"
5,"Indiana Bat, CV = 0.2",2000,0.738510244670859,0.0142468750915655,0.715144266174045,0.761665985516935,"1"
5,"Indiana Bat, CV = 0.8 ",2000,0.837171855081004,0.0148159063103597,0.810879727279991,0.858606575644072,"1"
10,"Cetacean, CV = 0.2",2000,0.707037848759671,0.00671517625308097,0.695782727805391,0.717810108286861,"1"
10,"Cetacean, CV = 0.8 ",2000,0.74732170665333,0.00891641924445882,0.731330122161762,0.759821876089426,"1"
10,"Indiana Bat, CV = 0.2",2000,0.726378705104197,0.0148988850460002,0.701162553190152,0.749869090371144,"1"
10,"Indiana Bat, CV = 0.8 ",2000,0.815101542260086,0.019871942929868,0.779136700201908,0.842826903104375,"1"
15,"Cetacean, CV = 0.2",2000,0.703015328889243,0.00704906259470403,0.691153936152304,0.714550502371924,"1"
15,"Cetacean, CV = 0.8 ",2000,0.739287480458513,0.0104395689745201,0.720579115110031,0.754342302848592,"1"
15,"Indiana Bat, CV = 0.2",2000,0.716931609943008,0.0160823250687966,0.69067922116586,0.74283438086581,"1"
15,"Indiana Bat, CV = 0.8 ",2000,0.796777343330775,0.0236087822278051,0.752756396776335,0.830471101134444,"1"
20,"Cetacean, CV = 0.2",2000,0.699181636156926,0.00738075730120424,0.687003398688387,0.711074615548026,"1"
20,"Cetacean, CV = 0.8 ",2000,0.730529847480088,0.0119119695960178,0.70978564661274,0.747980591077158,"1"
20,"Indiana Bat, CV = 0.2",2000,0.709660179170156,0.0176109812225931,0.679756038098648,0.737699723987232,"1"
20,"Indiana Bat, CV = 0.8 ",2000,0.779406933279416,0.0273878167334858,0.731118861137143,0.817465449612174,"1"
25,"Cetacean, CV = 0.2",2000,0.696139344886906,0.0077861963158648,0.683278335326713,0.708632430459819,"1"
25,"Cetacean, CV = 0.8 ",2000,0.723585994979125,0.013752730216059,0.69863962953803,0.742683643648384,"1"
25,"Indiana Bat, CV = 0.2",2000,0.702612669388656,0.0172926703202071,0.673828006119674,0.730458019771502,"1"
25,"Indiana Bat, CV = 0.8 ",2000,0.761241575322348,0.0316628688844061,0.704331814361612,0.806542016069131,"1"
30,"Cetacean, CV = 0.2",2000,0.693663785673972,0.00770155396908992,0.681089892080206,0.70634762222737,"1"
30,"Cetacean, CV = 0.8 ",2000,0.716164694159327,0.0150099091588868,0.689219709173945,0.737755327532589,"1"
30,"Indiana Bat, CV = 0.2",2000,0.695268856305917,0.0180247402349476,0.66598403232997,0.723966800706863,"1"
30,"Indiana Bat, CV = 0.8 ",2000,0.744192936585169,0.0345966613843948,0.679556298996203,0.793050944493765,"1"
35,"Cetacean, CV = 0.2",2000,0.691207845606287,0.00806511563595682,0.67793353182952,0.704568105523056,"1"
35,"Cetacean, CV = 0.8 ",2000,0.708514044713282,0.0157240544578294,0.680665380546454,0.731484986392737,"1"
35,"Indiana Bat, CV = 0.2",2000,0.689900887530516,0.0183049937303555,0.659013705506291,0.719031062441012,"1"
35,"Indiana Bat, CV = 0.8 ",2000,0.728255241688132,0.037606409287468,0.65964280164968,0.780329208033251,"1"
40,"Cetacean, CV = 0.2",2000,0.688109121163501,0.00821323106740765,0.674643570994987,0.701804710730539,"1"
40,"Cetacean, CV = 0.8 ",2000,0.700850117115368,0.0176219735541398,0.669100518189573,0.726903273440915,"1"
40,"Indiana Bat, CV = 0.2",2000,0.683540068933238,0.0186602757497398,0.653841771606639,0.713490218476117,"1"
40,"Indiana Bat, CV = 0.8 ",2000,0.70988172516197,0.0409220054648914,0.635163342700232,0.767017800631628,"1"
45,"Cetacean, CV = 0.2",2000,0.686270407863266,0.00843704047607417,0.67256725280854,0.700043374575684,"1"
45,"Cetacean, CV = 0.8 ",2000,0.691615059364333,0.0195652676604645,0.657060617623033,0.720847380014413,"1"
45,"Indiana Bat, CV = 0.2",2000,0.677995293052488,0.0185794911290634,0.647435520449441,0.707957320746676,"1"
45,"Indiana Bat, CV = 0.8 ",2000,0.689930251972919,0.0461017205461575,0.607453581729116,0.755483643253487,"1"
50,"Cetacean, CV = 0.2",2000,0.683396151318283,0.00882416048250751,0.668439526913757,0.697877181079331,"1"
50,"Cetacean, CV = 0.8 ",2000,0.682724888327914,0.0209992317956448,0.642727988333457,0.713332160270547,"1"
50,"Indiana Bat, CV = 0.2",2000,0.672270409869849,0.0198298836750561,0.638831790959353,0.704187848635465,"1"
50,"Indiana Bat, CV = 0.8 ",2000,0.670242749848237,0.0496397160448191,0.581023013174853,0.741877484909356,"1"
2.5,"Cetacean, CV = 0.2",2000,0.754628031946033,0.00313759993177445,0.749512591901479,0.759842677514267,"0.5"
2.5,"Cetacean, CV = 0.8 ",2000,0.778724158323188,0.00286254530343005,0.773623899912258,0.782710192448565,"0.5"
2.5,"Indiana Bat, CV = 0.2",2000,0.837126663432384,0.00655238520556354,0.826140158881599,0.847674147260728,"0.5"
2.5,"Indiana Bat, CV = 0.8 ",2000,0.886676694064895,0.00617217932049016,0.875411248990598,0.895388483304631,"0.5"
5,"Cetacean, CV = 0.2",2000,0.752375284838738,0.00331224865841457,0.746772065291838,0.75770586356403,"0.5"
5,"Cetacean, CV = 0.8 ",2000,0.775123892527335,0.0035862736020733,0.768567467252535,0.780188104539962,"0.5"
5,"Indiana Bat, CV = 0.2",2000,0.831538863666994,0.00709765277265162,0.819966088594056,0.842940788025013,"0.5"
5,"Indiana Bat, CV = 0.8 ",2000,0.879694391034886,0.00725996219885718,0.866836574338687,0.89012182462019,"0.5"
10,"Cetacean, CV = 0.2",2000,0.749299124396334,0.0034766782217468,0.743457104642761,0.754876912564776,"0.5"
10,"Cetacean, CV = 0.8 ",2000,0.769963034073362,0.00453267771486271,0.761838103999851,0.776301595320669,"0.5"
10,"Indiana Bat, CV = 0.2",2000,0.825577557665489,0.00740629292565918,0.813174405561232,0.83718729998699,"0.5"
10,"Indiana Bat, CV = 0.8 ",2000,0.868971187488222,0.00974726409361191,0.851274801302932,0.882515674034348,"0.5"
15,"Cetacean, CV = 0.2",2000,0.747215847322605,0.00365734799881466,0.741059642746034,0.753161665204245,"0.5"
15,"Cetacean, CV = 0.8 ",2000,0.765874516291867,0.00531682529441115,0.756300141803364,0.773533194020275,"0.5"
15,"Indiana Bat, CV = 0.2",2000,0.820956128553423,0.00802102512405807,0.807813074939742,0.833951498106469,"0.5"
15,"Indiana Bat, CV = 0.8 ",2000,0.860099851527856,0.0114937907390148,0.839038787421971,0.876514354226669,"0.5"
20,"Cetacean, CV = 0.2",2000,0.745227700800135,0.00383560070577171,0.73886698074704,0.751421634082923,"0.5"
20,"Cetacean, CV = 0.8 ",2000,0.761402484880941,0.00609059143910684,0.750680623988331,0.770296909004108,"0.5"
20,"Indiana Bat, CV = 0.2",2000,0.817363314451108,0.00880021669302842,0.802440968714228,0.831379741188175,"0.5"
20,"Indiana Bat, CV = 0.8 ",2000,0.851662976647238,0.0134405965346746,0.827398164925753,0.870209797383285,"0.5"
25,"Cetacean, CV = 0.2",2000,0.743642890337199,0.00405357675723246,0.73689923102422,0.750119197164409,"0.5"
25,"Cetacean, CV = 0.8 ",2000,0.757844315040977,0.007056846961821,0.745062883697124,0.767618593869144,"0.5"
25,"Indiana Bat, CV = 0.2",2000,0.813904824711542,0.0086387955639179,0.799370124647667,0.827920457132449,"0.5"
25,"Indiana Bat, CV = 0.8 ",2000,0.84279776699742,0.0156176509830664,0.815147126214271,0.865153798307283,"0.5"
30,"Cetacean, CV = 0.2",2000,0.742357106910157,0.0040127584430897,0.735766249756068,0.748949897583055,"0.5"
30,"Cetacean, CV = 0.8 ",2000,0.754029779354437,0.00772672024151178,0.740167891553093,0.765104483794526,"0.5"
30,"Indiana Bat, CV = 0.2",2000,0.810240573642572,0.00906162641810633,0.795321477762673,0.824492095265689,"0.5"
30,"Indiana Bat, CV = 0.8 ",2000,0.834507375798904,0.0170563933001789,0.802613979213775,0.858374517321523,"0.5"
35,"Cetacean, CV = 0.2",2000,0.74107611465188,0.00420878582471798,0.734111085699196,0.747990094262548,"0.5"
35,"Cetacean, CV = 0.8 ",2000,0.750087644562352,0.00811866794115109,0.735696046774997,0.761905663000768,"0.5"
35,"Indiana Bat, CV = 0.2",2000,0.807570852703255,0.0092357978420989,0.791910769722072,0.822035716997918,"0.5"
35,"Indiana Bat, CV = 0.8 ",2000,0.826735928425787,0.0186315834883234,0.793066930082109,0.852156438155528,"0.5"
40,"Cetacean, CV = 0.2",2000,0.739460054570026,0.00429459580440039,0.732439196860471,0.746595795074344,"0.5"
40,"Cetacean, CV = 0.8 ",2000,0.746119432474071,0.00913746539012439,0.729427954002408,0.759546210158893,"0.5"
40,"Indiana Bat, CV = 0.2",2000,0.804426376958415,0.00942524792986874,0.789236621709331,0.819223642396857,"0.5"
40,"Indiana Bat, CV = 0.8 ",2000,0.817718431870258,0.0203342945085217,0.780134088843118,0.845645297552082,"0.5"
45,"Cetacean, CV = 0.2",2000,0.738497269570589,0.00441299471838492,0.731281053238326,0.745689636187514,"0.5"
45,"Cetacean, CV = 0.8 ",2000,0.741314131436025,0.0101851510815032,0.723254083001111,0.756468698928936,"0.5"
45,"Indiana Bat, CV = 0.2",2000,0.801645929139566,0.00941754806280929,0.785743782498721,0.816898501093896,"0.5"
45,"Indiana Bat, CV = 0.8 ",2000,0.807862467917503,0.0230359358914012,0.766542574680061,0.840493648416807,"0.5"
50,"Cetacean, CV = 0.2",2000,0.736993993326545,0.00462335261127633,0.729148630705235,0.744566812992725,"0.5"
50,"Cetacean, CV = 0.8 ",2000,0.73667715484773,0.0109811520718443,0.715959806675301,0.75263062324465,"0.5"
50,"Indiana Bat, CV = 0.2",2000,0.798804120356394,0.0100405510657926,0.781835668711364,0.815162929919078,"0.5"
50,"Indiana Bat, CV = 0.8 ",2000,0.798054328256231,0.0249245324586054,0.752074511417124,0.834042790758931,"0.5"
